age,descent,sex,area,location,intersection,geojson,date,day_of_week,time,reporting_district,lon,lat
45.0,O,F,Devonshire,NORDHOFF,CORBIN,"-118.5623, 34.2355",2010-03-18,Thursday,1330,1764,34.2355,-118.5623
43.0,W,M,West LA,OVERLAND                     AV,NATIONAL                     BL,"-118.4176, 34.0325",2010-07-26,Monday,1440,893,34.0325,-118.4176
56.0,B,M,N Hollywood,WHITSETT                     AV,OXNARD                       ST,"-118.4052, 34.1794",2010-01-12,Tuesday,1939,1531,34.1794,-118.4052
20.0,H,M,Hollenbeck,CESAR E CHAVEZ,N  MOTT                         ST,"-118.2041, 34.0452",2010-07-09,Friday,530,457,34.0452,-118.2041
60.0,H,M,Southeast,108TH                        ST,GRAND                        AV,"-118.2805, 33.9383",2010-05-25,Tuesday,805,1842,33.9383,-118.2805
44.0,B,F,Wilshire,PICO                         BL,SAN VICENTE                  BL,"-118.3392, 34.0485",2010-02-19,Friday,1425,765,34.0485,-118.3392
45.0,O,F,West Valley,YARMOUTH                     AV,MARGATE                      ST,"-118.5203, 34.1686",2010-09-05,Sunday,1120,1065,34.1686,-118.5203
52.0,W,M,West Valley,VANOWEN                      ST,HAYVENHURST                  AV,"-118.4924, 34.1939",2010-01-19,Tuesday,1600,1028,34.1939,-118.4924
21.0,O,M,West LA,2400 S  SEPULVEDA                    BL,,"-118.4314, 34.0316",2010-03-12,Friday,1045,893,34.0316,-118.4314
25.0,B,M,Olympic,MARIPOSA                     ST,SAN MARINO                   AV,"-118.2987, 34.0545",2010-02-14,Sunday,2230,2045,34.0545,-118.2987
22.0,H,M,77th Street,78TH,WADSWORTH,"-118.2586, 33.9685",2010-08-02,Monday,630,1259,33.9685,-118.2586
47.0,W,F,Harbor,ANAHEIM                      ST,AVALON                       BL,"-118.2618, 33.78",2010-05-28,Friday,725,529,33.78,-118.2618
29.0,B,F,Wilshire,3RD                          ST,ORLANDO                      AV,"-118.3731, 34.073",2010-06-18,Friday,200,723,34.073,-118.3731
21.0,H,M,Pacific,VENICE                       BL,MARCASEL                     AV,"-118.4284, 34.0065",2010-10-06,Wednesday,2250,1449,34.0065,-118.4284
45.0,H,M,Hollenbeck,MARTIN                       ST,BULLARD                      AV,"-118.1674, 34.0802",2010-07-16,Friday,1535,438,34.0802,-118.1674
56.0,W,M,Rampart,7TH,BIXEL,"-118.2642, 34.0509",2010-10-31,Sunday,1840,269,34.0509,-118.2642
17.0,O,M,N Hollywood,VANOWEN                      ST,AGNES                        AV,"-118.3954, 34.194",2010-11-12,Friday,1515,1514,34.194,-118.3954
26.0,B,M,77th Street,81ST                         ST,DENKER                       AV,"-118.3046, 33.9655",2010-12-25,Saturday,1220,1265,33.9655,-118.3046
42.0,B,M,Newton,CENTRAL,16TH,"-118.2488, 34.0264",2010-05-07,Friday,720,1317,34.0264,-118.2488
25.0,W,M,Harbor,PACIFIC COAST                HY,VERMONT                      AV,"-118.2917, 33.791",2010-12-13,Monday,920,513,33.791,-118.2917
60.0,H,M,Devonshire,RESEDA                       BL,NORDHOFF                     ST,"-118.5361, 34.2355",2010-07-29,Thursday,1145,1785,34.2355,-118.5361
30.0,H,M,N Hollywood,MAGNOLIA                     BL,VINELAND                     AV,"-118.3704, 34.1649",2010-08-20,Friday,1650,1557,34.1649,-118.3704
26.0,H,F,77th Street,SLAUSON,VICTORIA,"-118.3322, 33.989",2010-05-30,Sunday,1755,1232,33.989,-118.3322
27.0,H,M,Rampart,MARATHON,LUCILE,"-118.2836, 34.0839",2010-07-12,Monday,1645,204,34.0839,-118.2836
50.0,W,M,Wilshire,LA CIENEGA                   BL,CULLEN                       ST,"-118.377, 34.0342",2010-10-04,Monday,1015,782,34.0342,-118.377
40.0,W,M,Hollywood,LA BREA                      AV,HIGHLAND                     AV,"-118.3494, 34.1007",2010-05-23,Sunday,1905,643,34.1007,-118.3494
45.0,O,M,West LA,SUNSET                       BL,BUNDY                        DR,"-118.4759, 34.0603",2010-01-09,Saturday,1130,826,34.0603,-118.4759
32.0,H,M,Northeast,SUNSET                       BL,NORMANDIE                    AV,"-118.3005, 34.0981",2010-11-14,Sunday,250,1151,34.0981,-118.3005
59.0,B,F,West LA,SEPULVEDA                    BL,SKIRBALL CENTER              DR,"-118.4793, 34.123",2010-01-27,Wednesday,1810,804,34.123,-118.4793
42.0,K,M,Olympic,WILSHIRE                     BL,ARDMORE                      AV,"-118.3016, 34.0618",2010-04-28,Wednesday,745,2034,34.0618,-118.3016
39.0,O,M,West LA,WELLESLEY,WILSHIRE,"-118.4692, 34.0427",2010-03-23,Tuesday,2300,831,34.0427,-118.4692
25.0,H,M,Olympic,SAN MARINO,CATALINA,"-118.2947, 34.0545",2010-02-23,Tuesday,1810,2056,34.0545,-118.2947
23.0,H,M,Olympic,NORMANDIE                    AV,OAKWOOD                      AV,"-118.3004, 34.0777",2010-06-24,Thursday,1625,2005,34.0777,-118.3004
75.0,W,M,West LA,BEVERLY GLEN                 DR,ILONA                        AV,"-118.4177, 34.0471",2010-03-31,Wednesday,1005,847,34.0471,-118.4177
20.0,H,M,Foothill,OSBORNE                      ST,GLENOAKS                     BL,"-118.4019, 34.2647",2010-10-04,Monday,1330,1633,34.2647,-118.4019
22.0,W,F,N Hollywood,LANKERSHIM                   BL,MAGNOLIA                     BL,"-118.375, 34.1649",2010-07-11,Sunday,950,1548,34.1649,-118.375
36.0,W,M,Central,BROADWAY,ARCADIA                      ST,"-118.2422, 34.0572",2010-07-27,Tuesday,115,112,34.0572,-118.2422
24.0,O,M,Topanga,DARNOCH                      WY,CANDLEWOOD                   WY,"-118.6444, 34.2039",2010-05-01,Saturday,40,2132,34.2039,-118.6444
27.0,O,F,Olympic,WILSHIRE                     BL,NEW HAMPSHIRE                AV,"-118.2929, 34.0618",2010-10-15,Friday,1000,2036,34.0618,-118.2929
30.0,W,F,Topanga,WINNETKA                     AV,VALERIO                      ST,"-118.571, 34.2047",2010-09-13,Monday,1100,2139,34.2047,-118.571
45.0,B,F,Hollenbeck,ZONAL                        AV,CUMMINGS                     ST,"-118.2046, 34.0594",2010-12-14,Tuesday,650,443,34.0594,-118.2046
41.0,A,F,Devonshire,WINNETKA,LONDELIUS,"-118.571, 34.2292",2010-01-29,Friday,1205,1782,34.2292,-118.571
18.0,H,M,Hollenbeck,EASTERN                      AV,GAMBIER                      ST,"-118.178, 34.081",2010-08-02,Monday,1350,427,34.081,-118.178
48.0,H,F,77th Street,BUDLONG                      AV,57TH                         ST,"-118.2958, 33.9905",2010-02-06,Saturday,1540,1215,33.9905,-118.2958
60.0,W,M,Foothill,SAN FERNANDO                 RD,PENROSE                      ST,"-118.3774, 34.2248",2010-08-06,Friday,2100,1687,34.2248,-118.3774
81.0,O,M,West Valley,VICTORY                      BL,WHITE OAK,"-118.5185, 34.1866",2010-02-09,Tuesday,1505,1035,34.1866,-118.5185
44.0,O,F,Hollenbeck,BIGGY                        ST,EASTLAKE                     AV,"-118.205, 34.0624",2010-01-25,Monday,1330,443,34.0624,-118.205
46.0,W,F,Harbor,WESTERN                      AV,9TH                          ST,"-118.3091, 34.0559",2010-09-15,Wednesday,1615,541,34.0559,-118.3091
31.0,B,F,77th Street,54TH                         ST,3RD                          AV,"-118.3203, 33.9932",2010-08-10,Tuesday,1900,1211,33.9932,-118.3203
59.0,W,M,Topanga,PLATT                        AV,VICTORY                      BL,"-118.6426, 34.1898",2010-04-14,Wednesday,2100,2142,34.1898,-118.6426
37.0,A,F,Hollenbeck,8TH                          ST,SOTO                         ST,"-118.2194, 34.0281",2010-04-06,Tuesday,945,491,34.0281,-118.2194
64.0,W,M,Wilshire,LACIENEGAA                   BL,VENICE                       BL,"-118.3717, 34.0387",2010-05-30,Sunday,1945,782,34.0387,-118.3717
33.0,O,M,West LA,SEPULVEDA                    BL,NABRASKA                     AV,"-118.4451, 34.0469",2010-05-29,Saturday,930,854,34.0469,-118.4451
46.0,H,F,Olympic,14TH                         ST,MAGNOLIA                     AV,"-118.2864, 34.0463",2010-05-19,Wednesday,1400,2079,34.0463,-118.2864
50.0,B,F,77th Street,CRENSHAW                     BL,63RD                         ST,"-118.3309, 33.9829",2010-09-03,Friday,955,1241,33.9829,-118.3309
19.0,B,M,Southwest,KING                         BL,BRIGHTON                     AV,"-118.298, 34.0073",2010-11-01,Monday,1915,397,34.0073,-118.298
19.0,H,F,West LA,LA CIENEGA,18TH,"-118.3768, 34.0445",2010-04-29,Thursday,1210,849,34.0445,-118.3768
35.0,O,M,Topanga,20100    SHERMAN                      WY,,"-118.571, 34.201",2010-05-24,Monday,1420,2139,34.201,-118.571
12.0,W,M,Wilshire,GARDNER                      ST,ROSEWOOD                     AV,"-118.3532, 34.0803",2010-12-27,Monday,1355,702,34.0803,-118.3532
25.0,W,M,Mission,ROXFORD                      ST,FOOTHILL                     BL,"-118.4602, 34.3218",2010-07-07,Wednesday,1630,1902,34.3218,-118.4602
50.0,W,F,Van Nuys,SUTTON                       ST,SEPULVEDA                    BL,"-118.4674, 34.15",2010-10-30,Saturday,1220,981,34.15,-118.4674
26.0,W,M,Hollywood,WESTERN,LELAND,"-118.3124, 34.0888",2010-12-11,Saturday,1140,657,34.0888,-118.3124
51.0,B,M,Hollenbeck,BROADWAY,DALY                         ST,"-118.2156, 34.0736",2010-06-25,Friday,955,412,34.0736,-118.2156
19.0,H,M,Pacific,SAWTELLE                     BL,BIONA                        DR,"-118.4203, 34.0122",2010-09-06,Monday,1945,1435,34.0122,-118.4203
61.0,B,F,77th Street,CRENSHAW                     BL,74TH                         ST,"-118.3309, 33.9727",2010-10-27,Wednesday,1910,1251,33.9727,-118.3309
47.0,A,M,Devonshire,WILBUR,LABRADOR,"-118.5448, 34.249",2010-11-24,Wednesday,1805,1766,34.249,-118.5448
41.0,B,M,Southwest,MARTIN LUTHER KING JR        BL,HARBOR                       FY,"-118.2808, 34.0111",2010-09-19,Sunday,2330,359,34.0111,-118.2808
84.0,W,M,Wilshire,FAIRFAX,PICO,"-118.3667, 34.0515",2010-02-15,Monday,1030,752,34.0515,-118.3667
19.0,H,M,Topanga,SHERMAN                      WY,KELVIN                       AV,"-118.5863, 34.2011",2010-06-23,Wednesday,945,2147,34.2011,-118.5863
59.0,O,F,Wilshire,3RD                          ST,GARDNER                      ST,"-118.3532, 34.0704",2010-08-28,Saturday,1730,734,34.0704,-118.3532
39.0,A,F,Rampart,SUNSET                       BL,LUCILE                       AV,"-118.2788, 34.091",2010-08-18,Wednesday,1800,204,34.091,-118.2788
21.0,W,M,Topanga,VALLEY                       CI,PLUMMER,"-118.6273, 34.2331",2010-04-09,Friday,1615,2101,34.2331,-118.6273
24.0,W,F,Northeast,FLETCHER                     DR,SAN FERNANDO                 RD,"-118.2441, 34.1161",2010-01-23,Saturday,800,1124,34.1161,-118.2441
19.0,W,F,West Valley,18200    VENTURA                      BL,,"-118.5289, 34.166",2010-02-03,Wednesday,1230,1075,34.166,-118.5289
52.0,W,M,N Hollywood,11900    VENTURA                      BL,,"-118.3908, 34.1427",2010-06-14,Monday,1140,1595,34.1427,-118.3908
58.0,B,M,Southwest,LA BREA,ADAMS,"-118.3519, 34.0325",2010-06-30,Wednesday,1050,331,34.0325,-118.3519
52.0,O,M,Hollenbeck,MOULTON,MAIN,"-118.2189, 34.066",2010-03-16,Tuesday,1110,421,34.066,-118.2189
22.0,H,F,Newton,MAIN                         ST,36TH                         ST,"-118.2736, 34.0171",2010-02-05,Friday,1900,1342,34.0171,-118.2736
42.0,W,M,Hollywood,LA BREA                      AV,DE LONGPRE                   AV,"-118.3441, 34.0962",2010-09-26,Sunday,1915,645,34.0962,-118.3441
64.0,H,M,Harbor,AVALON                       BL,ANAHEIM                      ST,"-118.2618, 33.78",2010-02-02,Tuesday,710,525,33.78,-118.2618
78.0,H,M,Harbor,300 W  PACIFIC COAST                HY,,"-118.2657, 33.791",2010-07-18,Sunday,900,515,33.791,-118.2657
54.0,H,M,Newton,VERNON,WADSWORTH,"-118.2588, 34.0039",2010-10-22,Friday,1515,1353,34.0039,-118.2588
47.0,H,M,77th Street,NORMANDIE                    AV,GAGE                         AV,"-118.3003, 33.9824",2010-03-28,Sunday,1645,1245,33.9824,-118.3003
19.0,B,M,Topanga,GRESHAM                      ST,TOPANGA CANYON               BL,"-118.6029, 34.2315",2010-12-19,Sunday,1130,2103,34.2315,-118.6029
30.0,O,M,N Hollywood,GAULT                        ST,ETHEL                        AV,"-118.4181, 34.1993",2010-07-27,Tuesday,2230,1521,34.1993,-118.4181
48.0,B,F,77th Street,BROADWAY,85TH,"-118.2782, 33.9616",2010-05-13,Thursday,1450,1268,33.9616,-118.2782
55.0,W,M,Topanga,TOPANGA CANYON               BL,CLARENDON                    ST,"-118.6058, 34.1697",2010-08-15,Sunday,1255,2185,34.1697,-118.6058
65.0,W,M,Foothill,SHELDON                      ST,SAN FERNANDO                 RD,"-118.3938, 34.2393",2010-05-05,Wednesday,620,1663,34.2393,-118.3938
26.0,B,F,Southeast,103RD                        ST,CENTRAL                      AV,"-118.2541, 33.9433",2010-03-05,Friday,1345,1824,33.9433,-118.2541
65.0,B,F,77th Street,FIGUEROA                     ST,46TH                         ST,"-118.2827, 34.002",2010-11-11,Thursday,1800,1208,34.002,-118.2827
